EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
299407,BOYD CO.,CANNONSBURG,05/10/2011,1830,Funnel Cloud, , ,0,0,0,0,KY,EST-5, ,50741,C,19,RLX,0,0,Emergency Manager, , , ,0,N,0,N,CANNONSBURG,05/10/2011,1830,38.38,-82.7,38.38,-82.7,"","Repetitive showers and thunderstorms, moved southeast through southeast Ohio and into portions of northeast Kentucky between 1500E and 1830E on Tuesday, the 10th.  In northeast Kentucky, the heaviest rains fell in eastern Greenup County and Boyd County.  Later that night some minor water problems reached south, into Lawrence County. ||This convection was just northeast of a warm front.  A sharp dew point gradient existed across the front.  Surface dew points were around 70 degrees just southwest of the boundary.  Luckily, later that same night, repetitive convection occurred in the Scioto River Valley of southern Ohio, missing this area just to the northwest.   ||Initially, the main impact was large hail.  As back building caused repetitive showers and thunderstorms, flooding became the primary issue.  Maximum rain amounts of 3 to 4 inches were observed.   The urban areas around Ashland likely had the heaviest rain. The highest total was 4 inches, measured at the Ashland cooperative observer site.",1
301297,CHRISTIAN CO.,LA FAYETTE,05/23/2011,1810,Tornado, ,EF2,0,1,350000,0,KY,CST-6, ,50953,C,47,PAH,0,0,NWS Storm Survey, ,17.3,175,3,SE,3,NW,PEMBROKE,05/23/2011,1827,36.6383,-87.6149,36.8107,-87.3883,"This tornado crossed into Kentucky from Stewart County, Tennessee. Several barns and grain bins were damaged or destroyed. A dairy barn with 45 cows inside was destroyed. Although all the cows were trapped under the collapsed barn, only two of the cows were injured. One of the cows was thrown 500 feet from its stall. Numerous large trees were snapped or uprooted. A tractor-trailer rig hauling freight was overturned at mile-marker 85 on Interstate 24. The driver suffered minor injuries and was taken to a regional hospital. The roof was torn from an agricultural chemical storage building. A tool barn was destroyed. At a farm near Pembroke, a large tree fell on a house, a large barn was flattened, and two large grain bins were destroyed. Peak winds were estimated near 120 mph, but the majority of the damage path was EF-1. The average path width was 150 yards.","A large cluster of thunderstorms increased in coverage and intensity as it accelerated eastward into a rapidly destabilizing air mass. The activity was closely related to a mid-level shortwave trough moving across Iowa and Missouri, along with a low level wind maximum. The storms were associated with isolated large hail, damaging winds, and a tornado.",2
301803,CARLISLE CO.,MILBURN,05/25/2011,1801,Funnel Cloud, , ,0,0,0,0,KY,CST-6, ,51005,C,39,PAH,0,0,Trained Spotter, , , ,0,W,0,W,MILBURN,05/25/2011,1801,36.8,-88.88,36.8,-88.88,"","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",3
301804,MCCRACKEN CO.,REIDLAND,05/25/2011,1828,Funnel Cloud, , ,0,0,0,0,KY,CST-6, ,51005,C,145,PAH,0,0,Trained Spotter, , , ,0,SE,0,SE,REIDLAND,05/25/2011,1828,37.02,-88.53,37.02,-88.53,"Funnel clouds were reported in the Reidland area.","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",4
301805,GRAVES CO.,WINGO,05/25/2011,1908,Funnel Cloud, , ,0,0,0,0,KY,CST-6, ,51005,C,83,PAH,0,0,Trained Spotter, , , ,0,SW,0,SW,WINGO,05/25/2011,1908,36.65,-88.73,36.65,-88.73,"","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",5
301816,CALLOWAY CO.,COPELAND,05/25/2011,1919,Tornado, ,EF0,0,0,10000,0,KY,CST-6, ,51005,C,35,PAH,0,0,NWS Storm Survey, ,0.27,80,1,W,0,WNW,COPELAND,05/25/2011,1920,36.7287,-88.4096,36.7317,-88.4063,"Several dozen mainly small trees were broken or uprooted. Most of the trees were small. The average path width was 50 yards. Peak winds were estimated near 70 mph.","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",6
302364,DAVIESS CO.,DELAWARE,05/25/2011,1932,Funnel Cloud, , ,0,0,0,0,KY,CST-6, ,51005,C,59,PAH,0,0,Trained Spotter, , , ,0,N,0,N,DELAWARE,05/25/2011,1932,37.68,-87.4,37.68,-87.4,"","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",7
301806,HOPKINS CO.,DAWSON SPGS,05/25/2011,1942,Funnel Cloud, , ,0,0,0,0,KY,CST-6, ,51005,C,107,PAH,0,0,Trained Spotter, , , ,2,N,2,N,DAWSON SPGS,05/25/2011,1942,37.199,-87.7,37.199,-87.7,"","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",8
302365,DAVIESS CO.,OWENSBORO,05/25/2011,1955,Funnel Cloud, , ,0,0,0,0,KY,CST-6, ,51005,C,59,PAH,0,0,Trained Spotter, , , ,0,N,0,N,OWENSBORO,05/25/2011,1955,37.77,-87.12,37.77,-87.12,"","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",9
301807,TRIGG CO.,LINTON,05/25/2011,2009,Funnel Cloud, , ,0,0,0,0,KY,CST-6, ,51005,C,221,PAH,0,0,Trained Spotter, , , ,3,NE,3,NE,LINTON,05/25/2011,2009,36.7037,-87.8632,36.7037,-87.8632,"There were several reports of funnel clouds in the southwest part of the county.","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",10
